Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10665798,"Nextstep General Reference, Release 3 (Nextstep Developer's Library)",Next Computer Inc,"Inc, Next Computer",,"=""0201622211""","=""9780201622218""",0,0.0,Addison-Wesley,Paperback,1104,1992,1992,,2020/01/14,"programming, to-read","programming (#95), to-read (#89)",to-read,,,,0,0
629608,"Concurrent Programming in Java : Design Principles and Pattern, 2nd Edition",Doug Lea,"Lea, Doug",,"=""0201310090""","=""9780201310092""",0,4.18,Addison-Wesley Professional,Paperback,432,1999,1996,,2020/01/14,"to-read, programming","to-read (#87), programming (#93)",to-read,,,,0,0
1032758,The Practice of Programming (Addison-Wesley Professional Computing Series),Brian W. Kernighan,"Kernighan, Brian W.",Rob Pike,"=""020161586X""","=""9780201615869""",0,4.12,Addison-Wesley,Paperback,288,1999,1999,,2020/01/14,"programming, to-read","programming (#89), to-read (#83)",to-read,,,,0,0
22605938,Working Effectively with Unit Tests,Jay Fields,"Fields, Jay",Michael C. Feathers,"=""""","=""""",2,3.97,leanpub,ebook,204,2014,2014,2020/01/14,2019/11/30,programming,programming (#46),read,,,,1,1
7003902,97 Things Every Programmer Should Know: Collective Wisdom from the Experts,Kevlin Henney,"Henney, Kevlin",,"=""0596809484""","=""9780596809485""",0,3.62,"O'Reilly Media, Inc.",Paperback,255,2010,2010,,2019/11/29,"programming, to-read","programming (#11), to-read (#82)",to-read,,,,0,1
1132597,Das fliegende Klassenzimmer,Erich Kästner,"Kästner, Erich",Walter Trier,"=""3791530151""","=""9783791530154""",0,4.20,Dressler Verlag,Hardcover,176,2006,1933,,2019/12/31,entertainment,entertainment (#28),read,,,,1,0
18482790,The Pomodoro Technique,Francesco Cirillo,"Cirillo, Francesco",,"=""3981567900""","=""9783981567908""",5,3.70,FC Garage GmbH,Hardcover,128,2013,2006,2019/12/29,2019/12/02,learning,learning (#13),read,,,,1,1
7715251,Programming Productivity (McGraw-Hill Series in Software Engineering and Technology),Capers Jones,"Jones, Capers",,"=""0070328110""","=""9780070328112""",0,3.00,McGraw-Hill College,Hardcover,276,1986,1986,,2019/12/22,"programming, to-read","programming (#83), to-read (#78)",to-read,,,,0,0
914211,Influencer: The Power to Change Anything,Kerry Patterson,"Patterson, Kerry","Joseph Grenny, David Maxfield, Ron McMillan, Al Switzler","=""007148499X""","=""9780071484992""",0,4.01,McGraw-Hill,Hardcover,288,2007,2007,,2019/12/22,"to-read, personality","to-read (#77), personality (#4)",to-read,,,,0,0
846008,Peer Reviews in Software: A Practical Guide,Karl Wiegers,"Wiegers, Karl",,"=""0201734850""","=""9780201734850""",0,3.55,Addison-Wesley Professional,Paperback,256,2001,2001,,2019/12/22,to-read,to-read (#76),to-read,,,,0,0
2799415,The Complete Guide to Software Testing,William Hetzel,"Hetzel, William",,"=""0471565679""","=""9780471565673""",0,4.12,John Wiley & Sons Inc,Hardcover,296,1993,1988,,2019/12/22,to-read,to-read (#75),to-read,,,,0,0
13617432,Notes to a software team leader,Roy Osherove,"Osherove, Roy",,"=""""","=""""",0,3.86,Roy Osherove,ebook,100,2012,2012,,2019/12/22,to-read,to-read (#74),to-read,,,,0,0
17288968,Beautiful Builds,Roy Osherove,"Osherove, Roy",,"=""""","=""""",0,3.55,,ebook,,,,,2019/12/22,to-read,to-read (#73),to-read,,,,0,0
112246,"The Art of Computer Programming, Volume 2: Seminumerical Algorithms",Donald Ervin Knuth,"Knuth, Donald Ervin",,"=""0201896842""","=""9780201896848""",0,4.42,Addison-Wesley Professional,Hardcover,784,1997,1969,,2019/12/04,"to-read, programming","to-read (#70), programming (#81)",to-read,,,,0,1
112247,"The Art of Computer Programming, Volume 1: Fundamental Algorithms",Donald Ervin Knuth,"Knuth, Donald Ervin",,"=""0201896834""","=""9780201896831""",0,4.38,Addison-Wesley,Hardcover,672,1997,1973,,2019/12/04,"to-read, programming","to-read (#69), programming (#80)",to-read,,,,0,1
44936,Refactoring: Improving the Design of Existing Code,Martin Fowler,"Fowler, Martin","Kent Beck, Don Roberts, Erich Gamma","=""0201485672""","=""9780201485677""",5,4.24,Addison-Wesley Professional,Hardcover,431,1999,1999,2019/12/02,2019/11/30,programming,programming (#26),read,,,,1,1
363999,The Art of Computer Programming: Volume 3: Sorting and Searching,Donald Ervin Knuth,"Knuth, Donald Ervin",,"=""0201896850""","=""0785342896855""",0,4.41,Addison-Wesley Professional,Hardcover,800,1998,1973,,2019/12/04,"to-read, programming","to-read (#71), programming (#82)",to-read,,,,0,1
22006920,Code Complete,Steve McConnell,"McConnell, Steve",,"=""""","=""""",0,4.30,,Paperback,952,,1993,,2019/12/03,"programming, to-read","programming (#78), to-read (#67)",to-read,,,,0,1
756249,Advanced C++ Programming Styles and Idioms,James O. Coplien,"Coplien, James O.",,"=""0201548550""","=""9780201548556""",0,3.84,Addison-Wesley Professional,Paperback,520,1992,1992,,2019/12/03,"to-read, programming","to-read (#66), programming (#77)",to-read,,,,0,1
23368775,CompTIA Linux+ Powered by Linux Professional Institute: Exam LX0-103 and Exam LX0-104,Roderick W. Smith,"Smith, Roderick W.","Christine Bresnahan, Richard Blum","=""1119021219""","=""9781119021216""",0,4.24,Sybex Inc,Paperback,634,2015,2015,,2019/12/01,"learning, programming, to-read","learning (#12), programming (#72), to-read (#62)",to-read,,,,0,1
102920,Understanding Comics: The Invisible Art,Scott McCloud,"McCloud, Scott",,"=""""","=""""",0,4.01,HarperPerennial,Paperback,222,1993,1993,,2019/11/30,"learning, to-read","learning (#11), to-read (#61)",to-read,,,,0,1
